date,zone,egg_color,egg_size,source_name,source_url,unit,price_clp,includes_iva,includes_freight,freight_clp,is_promo,notes
2022-08-31,Región Metropolitana de Santiago,color,M,anchor,,docena,1536.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,color,S,anchor,,docena,1428.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,1608.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,1440.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1356.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1284.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,1632.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,color,L,anchor,,docena,1464.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,color,M,anchor,,docena,1380.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-06-30,Región Metropolitana de Santiago,color,S,anchor,,docena,1284.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,960.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,744.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,4800.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,3600.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,960.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,color,L,anchor,,docena,744.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,color,M,anchor,,docena,5400.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-01-31,Región Metropolitana de Santiago,color,S,anchor,,docena,3600.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,828.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,660.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,5880.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,5640.0,False,False,,False,from anchors (anchors_wholesale.csv)
